overcrowding_by_bedrooms,rooms,overcrowding_by_rooms,bathroom,refrigerator,num_tablets,males_under_12,males_over_12,num_males,females_under_12,females_over_12,num_females,persons_under_12,persons_over_12,num_persons,years_school,ceiling,disable_person,female,under_10,num_minors,num_adults,num_over_65,mean_edu_adults,num_bedrooms,overcrowding_persons_per_room,computer,tv,num_mobile_phones,urban,age,Target,new_calc_dep,overall_condition,roof_material_fiber_cement,roof_material_metal,roof_material_natural_fibers_roof,roof_material_other_roof,elec_provider_cooperative,elec_provider_none_electricity,elec_provider_private_plant,elec_provider_public,wall_material_block_brick,wall_material_natural_fibers,wall_material_other_wall,wall_material_prefabricated_cement,wall_material_waste_material,wall_material_wood,wall_material_wood_zinc_absbesto,wall_material_zink,house_ownership_other_house,house_ownership_own,house_ownership_own_installments,house_ownership_precarious,house_ownership_rented,region_brunca,region_central,region_chorotega,region_huetar_atlantic,region_huetar_norte,region_pacific_central,water_supply_inside,water_supply_outside,water_supply_water_none,cooking_supply_charcoal,cooking_supply_electricity,cooking_supply_energy_none,cooking_supply_gas,floor_material_cement,floor_material_natural_material_floor,floor_material_none_floor,floor_material_other_floor,floor_material_tile,floor_material_wood_floor,sewage_letrine,sewage_no_toilet,sewage_other_sewage,sewage_septic_tank,sewage_sewer_cesspool,thrash_disposal_burning,thrash_disposal_hollow_buried,thrash_disposal_other_disposal,thrash_disposal_tanker truck,thrash_disposal_throwing_space
0,3,0,1,1,0.0,0,1,1,0,0,0,0,1,1,10,1,0,0,0,0,1,0,10.0,1,1.0,0,0,1,1,43,4,0.0,0.666666666667,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,1.0,0,1,1,0,0,0,0,1,1,12,1,0,0,0,0,1,1,12.0,1,1.0,0,0,1,1,67,4,1.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,8,0,1,1,0.0,0,0,0,0,1,1,0,1,1,11,1,1,1,0,0,1,1,11.0,2,0.5,0,0,0,1,92,4,1.0,1.33333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,1.0,0,2,2,1,1,2,1,3,4,9,1,0,0,0,2,2,0,11.0,3,1.3333334,0,0,3,1,17,4,0.25,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,1.0,0,2,2,1,1,2,1,3,4,11,1,0,1,0,2,2,0,11.0,3,1.3333334,0,0,3,1,37,4,0.25,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,1.0,0,2,2,1,1,2,1,3,4,11,1,0,0,0,2,2,0,11.0,3,1.3333334,0,0,3,1,38,4,0.25,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,1.0,0,2,2,1,1,2,1,3,4,2,1,0,1,1,2,2,0,11.0,3,1.3333334,0,0,3,1,8,4,0.25,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,2,0,1,1,0.0,0,1,1,2,1,3,2,2,4,0,1,0,1,1,2,2,0,10.0,1,4.0,0,0,1,1,7,4,0.5,0.666666666667,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,2,0,1,1,0.0,0,1,1,2,1,3,2,2,4,9,1,0,0,0,2,2,0,10.0,1,4.0,0,0,1,1,30,4,0.5,0.666666666667,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,2,0,1,1,0.0,0,1,1,2,1,3,2,2,4,11,1,0,1,0,2,2,0,10.0,1,4.0,0,0,1,1,28,4,0.5,0.666666666667,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
